date,Dire Straits,Eric Clapton,Mazzy Star,Neil Young,Oasis,Olivia Ong,Buster Keaton,Luis Bunuel,The Beatles,Fritz Lang,王家卫,Wes Anderson,Agatha Christie,The Stone Roses,Satoshi Kon,杨德昌,Billy Wilder,Woody Allen,Quentin Tarantino,Akira Kurosawa,Francois Truffaut,Jean-Luc Godard,Aki Kaurismaki,Teenage Fanclub,李洪绸,落日飞车,Cigarettes After Sex,Summer Salt,Douglas Adams,Italo Calvino
2021-12,37,1,3,3,9,1,185,191,27,119,847,1872,336,0,644,536,297,833,888,502,266,437,349,41,72,3,5,48,24,353
2022-01,3,4,3,2,13,2,277,262,24,105,1300,2009,761,4,829,847,547,1470,1459,1071,408,693,419,0,66,2,4,3,18,506
2022-02,1,2,1,0,14,3,240,280,19,82,1054,1893,1030,2,700,882,517,1281,1311,913,425,692,376,0,48,2,0,0,18,359
2022-03,3,5,2,6,10,1,330,353,35,145,1114,1192,792,4,804,1015,537,1730,1312,962,412,725,342,0,61,0,6,2,33,424
2022-04,1,2,2,4,13,1,296,362,29,157,1205,1245,692,0,967,931,484,1117,1427,958,402,710,307,0,173,2,1,0,24,489
2022-05,0,0,4,0,8,1,248,311,22,110,1144,1234,554,4,884,954,523,1308,1322,1117,427,679,292,0,620,1,1,0,20,460
2022-06,2,1,2,2,8,3,173,244,16,101,1042,671,422,2,916,724,388,843,953,839,298,464,203,0,221,0,4,0,27,347
2022-07,1,1,2,4,4,2,215,259,19,89,1077,745,473,2,848,1000,443,848,1177,748,340,515,206,0,96,3,4,0,23,379
2022-08,6,9,2,6,37,7,262,327,57,108,984,721,589,8,946,753,435,738,1149,698,538,526,338,0,94,3,0,0,26,322
2022-09,7,6,3,5,43,1,199,339,64,92,855,557,521,6,737,733,403,741,956,652,677,1103,254,2,67,6,12,4,22,340
2022-10,12,10,4,14,31,2,229,325,75,124,1165,776,474,5,736,1032,440,911,1349,723,526,1281,229,0,83,4,5,0,28,368
2022-11,7,11,1,10,25,2,174,280,72,82,1121,689,499,6,663,836,393,872,1177,622,404,809,232,0,72,10,8,0,34,354
2022-12,11,7,5,5,32,1,217,279,96,101,971,713,507,10,737,732,410,972,1233,713,494,766,232,0,82,1,13,1,21,302
2023-01,12,12,2,9,53,0,219,294,120,120,1103,770,637,8,787,818,382,995,1155,755,454,762,241,0,101,3,10,2,22,278
2023-02,11,10,2,3,61,3,160,228,82,83,719,508,403,6,534,659,280,762,914,653,287,575,199,0,52,5,9,4,25,270
2023-03,7,9,0,4,51,2,214,241,71,88,776,543,426,7,653,672,304,798,948,646,312,672,226,4,54,1,11,0,23,296
2023-04,6,9,3,4,58,0,162,213,71,84,768,869,389,5,595,700,294,618,1050,675,287,579,309,0,43,5,5,1,23,249
